Time (s),Channel 1 (V)
-0.005939266,-3.127572016
-0.005938766,0.658436214
-0.005938266,0.740740741
-0.005937766,-0.082304527
-0.005937266,0.576131687
-0.005936766,2.880658436
-0.005936266,4.444444444
-0.005935766,4.115226337
-0.005935266,2.633744856
-0.005934766,0.905349794
-0.005934266,-0.24691358
-0.005933766,4.526748971
-0.005933266,2.222222222
-0.005932766,-0.823045267
-0.005932266,-4.032921811
-0.005931766,-4.032921811
-0.005931266,-2.798353909
-0.005930766,0.740740741
-0.005930266,3.53909465
-0.005929766,4.444444444
-0.005929266,4.444444444
-0.005928766,1.563786008
-0.005928266,-3.374485597
-0.005927766,-3.950617284
-0.005927266,-3.950617284
-0.005926766,-3.127572016
-0.005926266,-0.24691358
-0.005925766,1.069958848
-0.005925266,1.152263374
-0.005924766,1.069958848
-0.005924266,0.658436214
-0.005923766,0.329218107
-0.005923266,0.082304527
-0.005922766,-0.164609053
-0.005922266,-0.164609053
-0.005921766,-0.082304527
-0.005921266,-0.082304527
-0.005920766,-0.082304527
-0.005920266,0.823045267
-0.005919766,0.987654321
-0.005919266,4.444444444
-0.005918766,3.703703704
-0.005918266,-0.740740741
-0.005917766,-0.576131687
-0.005917266,-3.950617284
-0.005916766,-4.032921811
-0.005916266,-3.78600823
-0.005915766,-0.164609053
-0.005915266,0.905349794
-0.005914766,0.082304527
-0.005914266,0.164609053
-0.005913766,2.386831276
-0.005913266,4.444444444
-0.005912766,4.444444444
-0.005912266,2.304526749
-0.005911766,0.24691358
-0.005911266,-0.329218107
-0.005910766,4.526748971
-0.005910266,3.703703704
-0.005909766,-1.152263374
-0.005909266,-3.950617284
-0.005908766,-4.032921811
